Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
AFFAIRE CASTELLS c. ESPAGNE,11798/85,HFJUD,Court (Chamber),23/04/1992,Exception préliminaire rejetée (non-épuisement);Violation de l'Art. 10;Non-lieu à examiner l'art. 14+10;Dommage matériel - demande rejetée;Préjudice moral - constat de violation suffisant;Remboursement partiel frais et dépens - procédure nationale;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF CASTELLS v. SPAIN - [Russian Translation],11798/85,HJUDRUS,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Serbian Translation],11798/85,HJUDSRP,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Bosnian Translation],11798/85,HJUDBOS,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Georgian Translation],11798/85,HJUDGEO,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Russian Translation] by the Russian MFA; COE; Interights and COLPI,11798/85,HJUDRUS,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Albanian Translation] summary by the European Centre; COE and EC,11798/85,HJUDALB,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Macedonian Translation] by the Ministry of Justice of "the former Yugoslav Republic of Macedonia",11798/85,HJUDMAC,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Slovakian Translation] by the Information Office of the COE in Bratislava,11798/85,HJUDSLO,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF CASTELLS v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,11798/85,HJUDSPA,Court (Chamber),23/04/1992,Preliminary objection rejected (non-exhaustion);Violation of Art. 10;Not necessary to examine Art. 14+10;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF DROZD AND JANOUSEK v. FRANCE AND SPAIN,12747/87,HEJUD,Court (Plenary),26/06/1992,Preliminary objection allowed (incompetence);Preliminary objection rejected (non-exhaustion);No violation of Art. 5-1
AFFAIRE DROZD ET JANOUSEK c. FRANCE ET ESPAGNE,12747/87,HFJUD,Court (Plenary),26/06/1992,Exception préliminaire retenue (incompétence);Exception préliminaire rejetée (non-épuisement);Non-violation de l'Art. 5-1
CASE OF DROZD AND JANOUSEK v. FRANCE AND SPAIN - [Slovenian Translation],12747/87,HJUDSLV,Court (Plenary),26/06/1992,Preliminary objection allowed (incompetence);Preliminary objection rejected (non-exhaustion);No violation of Art. 5-1
CASE OF DROZD AND JANOUSEK v. FRANCE AND SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,12747/87,HJUDSPA,Court (Plenary),26/06/1992,Preliminary objection allowed (incompetence);Preliminary objection rejected (non-exhaustion);No violation of Art. 5-1
CASE OF RUIZ-MATEOS v. SPAIN,12952/87,HEJUD,Court (Plenary),23/06/1993,Violation of Art. 6-1;Pecuniary damage - claim dismissed
AFFAIRE RUIZ-MATEOS c. ESPAGNE,12952/87,HFJUD,Court (Plenary),23/06/1993,Violation de l'Art. 6-1;Dommage matériel - demande rejetée
CASE OF RUIZ-MATEOS v. SPAIN - [Russian Translation],12952/87,HJUDRUS,Court (Plenary),23/06/1993,Violation of Art. 6-1;Pecuniary damage - claim dismissed
CASE OF RUIZ-MATEOS v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,12952/87,HJUDSPA,Court (Plenary),23/06/1993,Violation of Art. 6-1;Pecuniary damage - claim dismissed
CASE OF CASADO COCA v. SPAIN,15450/89,HEJUD,Court (Chamber),24/02/1994,No violation of Art. 10
AFFAIRE CASADO COCA c. ESPAGNE,15450/89,HFJUD,Court (Chamber),24/02/1994,Non-violation de l'Art. 10
CASE OF CASADO COCA v. SPAIN - [Serbian Translation],15450/89,HJUDSRP,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Russian Translation],15450/89,HJUDRUS,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Georgian Translation],15450/89,HJUDGEO,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Russian Translation] by the Russian MFA; COE; Interights and COLPI,15450/89,HJUDRUS,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Macedonian Translation] by the Ministry of Justice of "the former Yugoslav Republic of Macedonia",15450/89,HJUDMAC,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Slovakian Translation] by the Information Office of the COE in Bratislava,15450/89,HJUDSLO,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF CASADO COCA v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,15450/89,HJUDSPA,Court (Chamber),24/02/1994,No violation of Art. 10
CASE OF DİAZ RUANO v. SPAIN,16988/90,HEJUD,Court (Chamber),26/04/1994,Struck out of the list
AFFAIRE DİAZ RUANO c. ESPAGNE,16988/90,HFJUD,Court (Chamber),26/04/1994,Radiation du rôle
CASE OF DİAZ RUANO AND OTHERS v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,16988/90,HJUDSPA,Court (Chamber),26/04/1994,Struck out of the list
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN (ARTICLE 50) - [German Translation] summary by N. P. Engel Verlag,10588/83;10589/83;10590/83,HJUDGER,Court (Plenary),13/06/1994,Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN (ARTICLE 50),10588/83;10589/83;10590/83,HEJUD,Court (Plenary),13/06/1994,Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
AFFAIRE BARBERÀ; MESSEGUÉ ET JABARDO c. ESPAGNE (ARTICLE 50),10588/83;10589/83;10590/83,HFJUD,Court (Plenary),13/06/1994,Dommage matériel - réparation pécuniaire;Préjudice moral - réparation pécuniaire;Remboursement partiel frais et dépens - procédure nationale;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF BARBERÀ; MESSEGUÉ AND JABARDO v. SPAIN (ARTICLE 50) - [Spanish Translation] summary by the Spanish Cortes Generales,10588/83;10589/83;10590/83,HJUDSPA,Court (Plenary),13/06/1994,Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF RUIZ TORIJA v. SPAIN,18390/91,HEJUD,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Violation of Art. 6-1;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
AFFAIRE RUIZ TORIJA c. ESPAGNE,18390/91,HFJUD,Court (Chamber),09/12/1994,Exception préliminaire rejetée (non-épuisement);Violation de l'Art. 6-1;Dommage matériel - demande rejetée;Préjudice moral - constat de violation suffisant;Remboursement partiel frais et dépens - procédure nationale;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF RUIZ TORIJA v. SPAIN - [Ukrainian Translation],18390/91,HJUDUKR,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Violation of Art. 6-1;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - domestic proceedings;Costs and expenses partial award - Convention proceedings
CASE OF HIRO BALANI v. SPAIN,18064/91,HEJUD,Court (Chamber),09/12/1994,Violation of Art. 6-1;Non-pecuniary damage - finding of violation sufficient;Costs and expenses award - domestic proceedings;Costs and expenses award - Convention proceedings
AFFAIRE HIRO BALANI c. ESPAGNE,18064/91,HFJUD,Court (Chamber),09/12/1994,Violation de l'Art. 6-1;Préjudice moral - constat de violation suffisant;Remboursement frais et dépens - procédure nationale;Remboursement frais et dépens - procédure de la Convention
CASE OF HIRO BALANI v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,18064/91,HJUDSPA,Court (Chamber),09/12/1994,Violation of Art. 6-1;Non-pecuniary damage - finding of violation sufficient;Costs and expenses award - domestic proceedings;Costs and expenses award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN,16798/90,HEJUD,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
AFFAIRE LÓPEZ OSTRA c. ESPAGNE,16798/90,HFJUD,Court (Chamber),09/12/1994,Exception préliminaire rejetée (non-épuisement);Exception préliminaire rejetée (victime);Violation de l'Art. 8;Non-violation de l'Art. 3;Dommage matériel - réparation pécuniaire;Préjudice moral - réparation pécuniaire;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF LÓPEZ OSTRA v. SPAIN - [Serbian Translation],16798/90,HJUDSRP,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Romanian Translation],16798/90,HJUDRUM,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Russian Translation],16798/90,HJUDRUS,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Romanian Translation] by the COE and the EC,16798/90,HJUDRUM,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Georgian Translation] summary by Eva Gotsiridze,16798/90,HJUDGEO,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Italian Translation] summary by DUit (Diritti Umani in Italia) ,16798/90,HJUDITA,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Slovakian Translation] by the Information Office of the COE in Bratislava,16798/90,HJUDSLO,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
CASE OF LÓPEZ OSTRA v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,16798/90,HJUDSPA,Court (Chamber),09/12/1994,Preliminary objection rejected (non-exhaustion);Preliminary objection rejected (victim);Violation of Art. 8;No violation of Art. 3;Pecuniary damage - financial award;Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings
AFFAIRE GEA CATALÁN c. ESPAGNE,19160/91,HFJUD,Court (Chamber),10/02/1995,Exception préliminaire rejetée (désistement implicite);Non-violation de l'Art. 6-3-a
CASE OF GEA CATALÁN v. SPAIN,19160/91,HEJUD,Court (Chamber),10/02/1995,Preliminary objection rejected (implied withdrawal);No violation of Art. 6-3-a
CASE OF GEA CATALAN v. ESPAGNE - [Slovenian Translation],19160/91,HJUDSLV,Court (Chamber),10/02/1995,Preliminary objection rejected (implied withdrawal);No violation of Art. 6-3-a
CASE OF GEA CATALAN v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,19160/91,HJUDSPA,Court (Chamber),10/02/1995,Preliminary objection rejected (implied withdrawal);No violation of Art. 6-3-a
AFFAIRE VAN DER TANG c. ESPAGNE,19382/92,HFJUD,Court (Chamber),13/07/1995,Exception préliminaire rejetée (ex delicto non oritur actio);Non-violation de l'Art. 5-3
CASE OF VAN DER TANG v. SPAIN,19382/92,HEJUD,Court (Chamber),13/07/1995,Preliminary objection rejected (ex delicto non oritur actio);No violation of Art. 5-3
CASE OF VAN DER TANG v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,19382/92,HJUDSPA,Court (Chamber),13/07/1995,Preliminary objection rejected (ex delicto non oritur actio);No violation of Art. 5-3
AFFAIRE DE SALVADOR TORRES c. ESPAGNE,21525/93,HFJUD,Court (Chamber),24/10/1996,Non-violation de l'Art. 6-3-a
CASE OF DE SALVADOR TORRES v. SPAIN,21525/93,HEJUD,Court (Chamber),24/10/1996,No violation of Art. 6-3-a
CASE OF DE SALVADOR TORRES v. SPAIN - [Slovenian Translation],21525/93,HJUDSLV,Court (Chamber),24/10/1996,No violation of Art. 6-3-a
CASE OF DE SALVADOR TORRES v. SPAIN - [Ukrainian Translation] summary by the Lviv Laboratory of Human Rights,21525/93,HJUDUKR,Court (Chamber),24/10/1996,No violation of Art. 6-3-a
CASE OF SCOTT v. SPAIN,21335/93,HEJUD,Court (Chamber),18/12/1996,Preliminary objection rejected (non-exhaustion of domestic remedies);No violation of Art. 5-1;Violation of Art. 5-3;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - Convention proceedings
AFFAIRE SCOTT c. ESPAGNE,21335/93,HFJUD,Court (Chamber),18/12/1996,Exception préliminaire rejetée (non-épuisement des voies de recours internes);Non-violation de l'art. 5-1;Violation de l'art. 5-3;Préjudice moral - constat de violation suffisant;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF SCOTT v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,21335/93,HJUDSPA,Court (Chamber),18/12/1996,Preliminary objection rejected (non-exhaustion of domestic remedies);No violation of Art. 5-1;Violation of Art. 5-3;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - Convention proceedings
CASE OF TEJEDOR GARCÍA v. SPAIN,25420/94,HEJUD,Court (Chamber),16/12/1997,No violation of Art. 6-1
AFFAIRE TEJEDOR GARCÍA c. ESPAGNE,25420/94,HFJUD,Court (Chamber),16/12/1997,Non-violation de l'Art. 6-1
CASE OF TEJEDOR GARCÍA v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,25420/94,HJUDSPA,Court (Chamber),16/12/1997,No violation of Art. 6-1
CASE OF BRUALLA GÓMEZ DE LA TORRE v. SPAIN,26737/95,HEJUD,Court (Chamber),19/12/1997,No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing)
AFFAIRE BRUALLA GÓMEZ DE LA TORRE c. ESPAGNE,26737/95,HFJUD,Court (Chamber),19/12/1997,Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Procès équitable)
CASE OF BRUALLA GÓMEZ DE LA TORRE v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,26737/95,HJUDSPA,Court (Chamber),19/12/1997,No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing)
CASE OF EDIFICACIONES MARCH GALLEGO S.A. v. SPAIN,28028/95,HEJUD,Court (Chamber),19/02/1998,No violation of Art. 6-1
AFFAIRE EDIFICACIONES MARCH GALLEGO S.A. c. ESPAGNE,28028/95,HFJUD,Court (Chamber),19/02/1998,Non-violation de l'Art. 6-1
CASE OF EDIFICACIONES MARCH GALLEGO SA v. SPAIN - [Ukrainian Translation],28028/95,HJUDUKR,Court (Chamber),19/02/1998,No violation of Art. 6-1
CASE OF EDIFICACIONES MARCH GALLEGO S.A. v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,28028/95,HJUDSPA,Court (Chamber),19/02/1998,No violation of Art. 6-1
CASE OF VALENZUELA CONTRERAS v. SPAIN,27671/95,HEJUD,Court (Chamber),30/07/1998,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence;Respect for private life)
AFFAIRE VALENZUELA CONTRERAS c. ESPAGNE,27671/95,HFJUD,Court (Chamber),30/07/1998,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8-1 - Respect de la correspondance;Respect de la vie privée)
CASE OF VALENZUELA CONTRERAS v. SPAIN - [Slovenian Translation],27671/95,HJUDSLV,Court (Chamber),30/07/1998,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence;Respect for private life)
CASE OF VALENZUELA CONTRERAS v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,27671/95,HJUDSPA,Court (Chamber),30/07/1998,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence;Respect for private life)
CASE OF PÉREZ DE RADA CAVANILLES v. SPAIN,28090/95,HEJUD,Court (Chamber),28/10/1998,Violation of Art. 6-1;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - Convention proceedings
AFFAIRE PÉREZ DE RADA CAVANILLES c. ESPAGNE,28090/95,HFJUD,Court (Chamber),28/10/1998,Violation de l'Art. 6-1;Préjudice moral - constat de violation suffisant;Remboursement partiel frais et dépens - procédure de la Convention
CASE OF PÉREZ DE RADA CAVANILLES v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,28090/95,HJUDSPA,Court (Chamber),28/10/1998,Violation of Art. 6-1;Non-pecuniary damage - finding of violation sufficient;Costs and expenses partial award - Convention proceedings
CASE OF CASTILLO ALGAR v. SPAIN,28194/95,HEJUD,Court (Chamber),28/10/1998,Preliminary objection rejected (non-exhaustion);Violation of Art. 6-1;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses award - domestic proceedings;Costs and expenses award - Convention proceedings
AFFAIRE CASTILLO ALGAR c. ESPAGNE,28194/95,HFJUD,Court (Chamber),28/10/1998,Exception préliminaire rejetée (non-épuisement);Violation de l'Art. 6-1;Dommage matériel - demande rejetée;Préjudice moral - constat de violation suffisant;Remboursement frais et dépens - procédure nationale;Remboursement frais et dépens - procédure de la Convention
CASE OF CASTILLO ALGAR v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,28194/95,HJUDSPA,Court (Chamber),28/10/1998,Preliminary objection rejected (non-exhaustion);Violation of Art. 6-1;Pecuniary damage - claim dismissed;Non-pecuniary damage - finding of violation sufficient;Costs and expenses award - domestic proceedings;Costs and expenses award - Convention proceedings
AFFAIRE GARCÍA RUIZ c. ESPAGNE,30544/96,HFJUD,Court (Grand Chamber),21/01/1999,Non-violation de l'Art. 6-1
CASE OF GARCÍA RUIZ v. SPAIN,30544/96,HEJUD,Court (Grand Chamber),21/01/1999,No violation of Art. 6-1
CASE OF GARCÍA RUIZ v. SPAIN - [Croatian Translation] by the COE Human Rights Trust Fund,30544/96,HJUDHRV,Court (Grand Chamber),21/01/1999,No violation of Art. 6-1
CASE OF GARCÍA RUIZ v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,30544/96,HJUDSPA,Court (Grand Chamber),21/01/1999,No violation of Art. 6-1
CASE OF GARCÍA RUIZ v. SPAIN - [Czech Translation] summary by the COE/ECHR ,30544/96,HJUDCZE,Court (Grand Chamber),21/01/1999,No violation of Art. 6-1
CASE OF GARCÍA RUIZ v. SPAIN - [Azerbaijani Translation] legal summary by EU/COE ‘Partnership for Good Governance’ (PGG),30544/96,HJUDAZE,Court (Grand Chamber),21/01/1999,No violation of Art. 6-1
CASE OF TROME S.A. v. ESPAGNE - [Spanish Translation] summary by the Spanish Cortes Generales,27781/95,HJUDSPA,Court (Fourth Section),01/04/1999,Struck out of the list (Article 37-1 - Striking out applications;Article 37-1-b - Matter resolved;Article 37-1-c - Continued examination not justified)
CASE OF TROME S.A. v. SPAIN,27781/95,HEJUD,Court (Fourth Section),01/04/1999,Struck out of the list (Article 37-1 - Striking out applications;Article 37-1-b - Matter resolved;Article 37-1-c - Continued examination not justified)
AFFAIRE TROME S.A. c. ESPAGNE,27781/95,HFJUD,Court (Fourth Section),01/04/1999,Radiation du rôle (Article 37-1 - Radiation du rôle;Article 37-1-b - Litige résolu;Article 37-1-c - Poursuite de l'examen non justifiée)
CASE OF RIERA BLUME AND OTHERS v. SPAIN,37680/97,HEJUD,Court (Fourth Section),14/10/1999,Violation of Art. 5-1;Not necessary to examine Art. 9;Pecuniary damage - claim dismissed;Non-pecuniary damage - financial award;Costs and expenses partial award
AFFAIRE RIERA BLUME ET AUTRES c. ESPAGNE,37680/97,HFJUD,Court (Fourth Section),14/10/1999,Violation de l'art. 5-1;Non-lieu à examiner l'art. 9;Dommage matériel - demande rejetée;Préjudice moral - réparation pécuniaire;Remboursement partiel frais et dépens
CASE OF RIERA BLUME & OTHERS v. SPAIN - [Slovenian Translation],37680/97,HJUDSLV,Court (Fourth Section),14/10/1999,Violation of Art. 5-1;Not necessary to examine Art. 9;Pecuniary damage - claim dismissed;Non-pecuniary damage - financial award;Costs and expenses partial award
CASE OF RIERA BLUME AND OTHERS v. SPAIN - [Spanish Translation] summary by the Spanish Cortes Generales,37680/97,HJUDSPA,Court (Fourth Section),14/10/1999,Violation of Art. 5-1;Not necessary to examine Art. 9;Pecuniary damage - claim dismissed;Non-pecuniary damage - financial award;Costs and expenses partial award
CASE OF MIRAGALL ESCOLANO AND OTHERS v. SPAIN,38366/97;38688/97;40777/98;40843/98;41015/98;41400/98;41446/98;41484/98;41487/98;41509/98,HEJUD,Court (Fourth Section),25/01/2000,Violation of Art. 6-1;Just satisfaction reserved;Pecuniary damage - reserved
AFFAIRE MIRAGALL ESCOLANO ET AUTRES c. ESPAGNE,38366/97;38688/97;40777/98;40843/98;41015/98;41400/98;41446/98;41484/98;41487/98;41509/98,HFJUD,Court (Fourth Section),25/01/2000,Violation de l'Art. 6-1;Satisfaction équitable réservée;Dommage matériel - décision réservée
